Capture Date,RFID #,Arm Band #,Unique bat,Previous RFID,Capture,Sex,Age,Gel Applied,Hair Sample,Mortality ,notes
,,,,,(R - recapture; N - new),(M - male; F - female),(A - adult; SA - subadult; J - juvenile),(1 - RB; 2 - R110),( 0 - negative; 1 - RB positive; 2 - R110 positive; 3 - not collected),(1 - died during processing),
6/19/2025,121533,1075,1,,R,M,A,,,,BAND is from Casimiro but PIT tag does not match
6/14/2025,12784,1199,2,1,R,F,A,1,,,
6/14/2025,12751,1214,3,1,R,F,A,,,,
6/14/2025,12752,1216,4,1,R,F,A,1,,,Urinating blood
6/19/2025,12752,1216,4,,R,F,A,,1,,
6/19/2025,10802,1223,5,,R,F,A,,1,,
6/14/2025,10802,1223,5,0,R,F,A,,,,New PIT tag - was 12769 (1/25/2025)
6/14/2025,12722,1224,6,1,R,F,A,1,,,
6/19/2025,12722,1224,6,,R,F,A,,1,,
6/14/2025,12709,1226,7,1,R,F,A,,,,
6/14/2025,12739,1227,8,1,R,F,A,1,,,
6/19/2025,12796,1230,9,,R,M,A,,1,,
6/19/2025,12736,1232,10,,R,F,A,,3,,
6/14/2025,12755,1234,11,1,R,F,A,,,1,Died after processed.
6/19/2025,12733,1235,12,,R,F,A,,1,,
6/14/2025,12733,1235,12,1,R,F,A,,,,
6/19/2025,12727,1236,13,,R,F,A,,1,,
6/14/2025,12806,1237,14,1,R,F,A,,,,
6/14/2025,12746,1241,15,1,R,F,A,,,,
6/19/2025,12734,1242,16,,R,F,A,,1,,
6/19/2025,12715,1244,17,,R,F,A,,1,,
6/14/2025,12767,1245,18,1,R,F,A,1,,,
6/19/2025,12789,1246,19,,R,M,A,,2,,
6/14/2025,12789,1246,19,1,R,M,A,,,,
6/14/2025,12438,1249,20,1,R,M,A,2,,,
6/19/2025,12805,1252,21,,R,M,A,,0,,
6/14/2025,10821,1254,22,0,R,F,A,1,,,New PIT tag - was 12803 (1/25/2025)
6/19/2025,12753,1259,23,,R,M,A,,2,,
6/14/2025,12721,1261,24,1,R,M,A,,,,
