Replicate,Days,Formulation,Temperature,Titer (PFU/mL),Log Fold Change
1,0,C,23,3.40E+07,0.00E+00
1,7,C,23,1.60E+07,-3.27E-01
1,14,C,23,3.65E+06,-9.69E-01
1,30,C,23,7.50E+05,-1.66E+00
1,90,C,23,1.00E+00,
1,0,R,23,2.55E+07,0.00E+00
1,7,R,23,1.85E+06,-1.14E+00
1,14,R,23,3.45E+04,-2.87E+00
1,30,R,23,1.00E+00,-7.41E+00
1,90,R,23,1.00E+00,
1,0,S,23,4.95E+07,0.00E+00
1,7,S,23,2.25E+07,-3.42E-01
1,14,S,23,5.45E+06,-9.58E-01
1,30,S,23,3.65E+05,-2.13E+00
1,90,S,23,5.00E+03,-4.00E+00
1,0,C,4,3.40E+07,0.00E+00
1,7,C,4,4.10E+07,8.13E-02
1,14,C,4,1.85E+07,-2.64E-01
1,30,C,4,2.00E+07,-2.30E-01
1,30,C,4,5.10E+06,-8.24E-01
1,0,R,4,2.55E+07,0.00E+00
1,7,R,4,1.75E+07,-1.64E-01
1,14,R,4,1.15E+07,-3.46E-01
1,30,R,4,8.50E+06,-4.77E-01
1,90,R,4,7.50E+05,-1.53E+00
1,0,S,4,4.95E+07,0.00E+00
1,7,S,4,2.75E+07,-2.55E-01
1,14,S,4,1.95E+07,-4.05E-01
1,30,S,4,1.40E+07,-5.48E-01
1,90,S,4,3.00E+06,-1.22E+00
1,0,C,-80,3.40E+07,0.00E+00
1,7,C,-80,2.90E+07,-6.91E-02
1,14,C,-80,1.85E+07,-2.64E-01
1,30,C,-80,2.87E+07,-7.36E-02
1,90,C,-80,1.95E+07,-2.41E-01
1,0,R,-80,2.55E+07,0.00E+00
1,7,R,-80,3.05E+07,7.78E-02
1,14,R,-80,3.50E+07,1.38E-01
1,30,R,-80,2.60E+07,8.43E-03
1,90,R,-80,3.15E+07,9.18E-02
1,0,S,-80,4.95E+07,0.00E+00
1,7,S,-80,4.75E+07,-1.79E-02
1,14,S,-80,5.10E+07,1.30E-02
1,30,S,-80,5.10E+07,1.30E-02
1,90,S,-80,4.25E+07,-6.62E-02
2,0,C,23,4.05E+07,0.00E+00
2,7,C,23,8.50E+06,-6.78E-01
2,14,C,23,6.05E+06,-8.26E-01
2,30,C,23,4.55E+05,-1.95E+00
2,90,C,23,1.00E+00,
2,0,R,23,1.65E+07,0.00E+00
2,7,R,23,3.00E+06,-7.40E-01
2,14,R,23,5.00E+05,-1.52E+00
2,30,R,23,8.40E+04,-2.29E+00
2,90,R,23,1.00E+00,
2,0,S,23,3.35E+07,0.00E+00
2,7,S,23,8.50E+06,-5.96E-01
2,14,S,23,5.10E+06,-8.17E-01
2,30,S,23,3.05E+06,-1.04E+00
2,90,S,23,1.20E+03,-4.45E+00
2,0,C,4,4.05E+07,0.00E+00
2,7,C,4,8.50E+06,-6.78E-01
2,14,C,4,1.85E+07,-3.40E-01
2,30,C,4,1.40E+07,-4.61E-01
2,90,C,4,6.50E+06,-7.95E-01
2,0,R,4,1.65E+07,0.00E+00
2,7,R,4,9.00E+06,-2.63E-01
2,14,R,4,8.00E+06,-3.14E-01
2,30,R,4,9.50E+06,-2.40E-01
2,90,R,4,9.00E+05,-1.26E+00
2,0,S,4,3.35E+07,0.00E+00
2,7,S,4,3.05E+07,-4.07E-02
2,14,S,4,1.10E+07,-4.84E-01
2,30,S,4,1.55E+07,-3.35E-01
2,90,S,4,3.60E+06,-9.69E-01
2,0,C,-80,4.05E+07,0.00E+00
2,7,C,-80,2.50E+07,-2.10E-01
2,14,C,-80,2.45E+07,-2.18E-01
2,30,C,-80,3.30E+07,-8.89E-02
2,90,C,-80,3.05E+07,-1.23E-01
2,0,R,-80,1.65E+07,0.00E+00
2,7,R,-80,1.20E+07,-1.38E-01
2,14,R,-80,1.60E+07,-1.34E-02
2,30,R,-80,1.60E+07,-1.34E-02
2,90,R,-80,1.90E+07,6.13E-02
2,0,S,-80,3.35E+07,0.00E+00
2,7,S,-80,2.45E+07,-1.36E-01
2,14,S,-80,4.35E+07,1.13E-01
2,30,S,-80,1.75E+07,-2.82E-01
2,90,S,-80,2.40E+07,-1.45E-01
3,0,C,23,2.30E+07,0.00E+00
3,7,C,23,1.30E+07,-2.48E-01
3,14,C,23,6.05E+06,-5.80E-01
3,30,C,23,4.75E+05,-1.69E+00
3,90,C,23,1.00E+00,
3,0,R,23,1.40E+07,0.00E+00
3,7,R,23,1.20E+06,-1.07E+00
3,14,R,23,1.10E+06,-1.10E+00
3,30,R,23,5.55E+04,-2.40E+00
3,90,R,23,1.00E+00,
3,0,S,23,1.75E+07,0.00E+00
3,7,S,23,5.40E+06,-5.11E-01
3,14,S,23,3.65E+06,-6.81E-01
3,30,S,23,4.20E+05,-1.62E+00
3,90,S,23,1.00E+00,-7.24E+00
3,0,C,4,2.30E+07,0.00E+00
3,7,C,4,9.00E+06,-4.07E-01
3,14,C,4,1.60E+07,-1.58E-01
3,30,C,4,2.15E+07,-2.93E-02
3,90,C,4,1.45E+06,-1.20E+00
3,0,R,4,1.40E+07,0.00E+00
3,7,R,4,6.00E+06,-3.68E-01
3,14,R,4,5.60E+06,-3.98E-01
3,30,R,4,3.95E+06,-5.50E-01
3,90,R,4,5.00E+04,-2.45E+00
3,0,S,4,1.75E+07,0.00E+00
3,7,S,4,1.25E+07,-1.46E-01
3,14,S,4,1.45E+07,-8.17E-02
3,30,S,4,1.05E+07,-2.22E-01
3,90,S,4,1.85E+06,-9.76E-01
3,0,C,-80,2.30E+07,0.00E+00
3,7,C,-80,1.80E+07,-1.06E-01
3,14,C,-80,2.50E+07,3.62E-02
3,30,C,-80,2.55E+07,4.48E-02
3,90,C,-80,2.45E+07,2.74E-02
3,0,R,-80,1.40E+07,0.00E+00
3,7,R,-80,1.50E+07,3.00E-02
3,14,R,-80,1.15E+07,-8.54E-02
3,30,R,-80,1.25E+07,-4.92E-02
3,90,R,-80,1.45E+07,1.52E-02
3,0,S,-80,1.75E+07,0.00E+00
3,7,S,-80,1.60E+07,-3.89E-02
3,14,S,-80,1.35E+07,-1.13E-01
3,30,S,-80,2.30E+07,1.19E-01
3,90,S,-80,1.65E+07,-2.56E-02
